,train_losses,train_accuracies,val_losses,val_accuracies,val_f1s,learning_rate,weight_decay
0,0.18382505775972352,93.77108162806387,0.18126419739928215,91.0828025477707,0.9431818181818182,0.0001,0.05
1,0.11213457824300857,96.28963346076006,0.0966649264666685,96.43312101910828,0.9763113367174281,0.0001,0.05
2,0.0873651653871674,96.78434899932539,0.147364580166188,94.26751592356688,0.9627174813587407,0.0001,0.05
3,0.07519123345414105,97.18911625815156,0.07714909164199404,97.57961783439491,0.9838297872340426,0.0001,0.05
4,0.06105795807756143,97.8412412862604,0.09048769261426987,97.57961783439491,0.9837467921300257,0.0001,0.05
5,0.06475084955142889,97.34652574769507,0.06757034709214405,97.96178343949045,0.9863481228668942,0.0001,0.05
6,0.059006457848879416,97.93118956599955,0.06273879704012233,98.47133757961784,0.9897084048027445,0.0001,0.05
7,0.05131195094884581,98.24600854508658,0.07346456517839128,97.70700636942675,0.9847198641765704,0.0001,0.05
8,0.05617748922411849,98.08859905554306,0.06026406708369209,98.34394904458598,0.9888983774551665,0.0001,0.05
9,0.039536569238191564,98.80818529345626,0.058635582314555054,97.70700636942675,0.9845094664371773,0.0001,0.05
10,0.045349580528349025,98.51585338430402,0.10216337108308343,97.32484076433121,0.9821882951653944,0.0001,0.05
11,0.041400553518288426,98.5383404542388,0.06209132052293628,98.21656050955414,0.9880749574105622,0.0001,0.05
