,train_losses,train_accuracies,val_losses,val_accuracies,val_f1s,learning_rate,weight_decay
0,0.6189245174902596,69.86732628738476,0.6459335618717655,74.26751592356688,0.8523391812865497,0.0001,0.05
1,0.5222726116320887,74.74702046323364,0.5748163654546069,74.26751592356688,0.8523391812865497,0.0001,0.05
2,0.5045142478022866,75.10681358219024,0.47863567274087554,75.1592356687898,0.8323301805674979,0.0001,0.05
3,0.4729464961044542,76.92826624690802,0.4074145191414341,78.34394904458598,0.8698315467075038,0.0001,0.05
4,0.454985287126756,79.08702496064762,0.5750546588259897,78.47133757961784,0.86512370311253,0.0001,0.05
5,0.4080279662431104,80.2338655273218,0.48371082491176143,79.61783439490446,0.8763523956723338,0.0001,0.05
6,0.3830123600502456,82.9323139194963,0.4871065119269547,78.98089171974522,0.8713951675759938,0.0001,0.05
7,0.4058068334412945,79.78412412862605,0.4229562553630513,80.0,0.87743950039032,0.0001,0.05
8,0.3698614737995292,82.23521475151787,0.43720212574977024,82.67515923566879,0.8934169278996865,0.0001,0.05
9,0.36393067654878175,83.15718461884417,0.6282896972006293,76.43312101910828,0.8618371919342793,0.0001,0.05
10,0.3636580033666342,82.70744322014842,0.5003295566246009,79.87261146496816,0.8769470404984424,0.0001,0.05
11,0.3546565194089198,83.78682257701821,0.40882338456287504,83.18471337579618,0.8952380952380953,0.0001,0.05
12,0.33908274330823696,84.57387002473578,0.401984687064104,84.3312101910828,0.9026128266033254,0.0001,0.05
13,0.3452062783199454,84.01169327636609,0.596463281789403,78.85350318471338,0.8732824427480916,0.0001,0.05
14,0.36257181945398254,83.33708117832246,0.5876116029775826,78.59872611464968,0.8717557251908397,0.0001,0.05
15,0.3450688780198506,84.84371486395322,0.5871825590255154,79.87261146496816,0.8786482334869432,0.0001,0.05
16,0.3219003506341569,85.0685855633011,0.5214660597834617,80.50955414012739,0.8811188811188811,0.0001,0.05
17,0.3222580338719992,85.02361142343153,0.41572143644284293,81.52866242038216,0.8853754940711462,0.0001,0.05
